Feature	Gain	Cover	Frequency
Visa_mpagospesos	0.0045982113477028	0.00848874358887988	0.0141760554661384
ccomisiones_mantenimiento	0.00433112889685221	0.00284563954220687	0.00544756716602699
Visa_mconsumospesos	0.00415093206636546	0.00812710148089206	0.0162807973257398
Master_mfinanciacion_limite	0.00413890836516839	0.00806564598193059	0.0146712888448681
Master_mpagominimo	0.00400792613614119	0.00982105880205172	0.00693326730221617
tcallcenter	0.0039795524064879	0.00848377078240085	0.00396186702983781
mautoservicio	0.00380395692533734	0.014195916934504	0.019499814287483
mcomisiones_mantenimiento	0.00380121903963835	0.0059581362769935	0.0094094341958648
Visa_mfinanciacion_limite	0.00349606646610705	0.00967261472213415	0.0133093970533614
Master_status	0.00338971708924182	0.00136828096236663	0.00204283768726012
Master_mlimitecompra	0.00334561720281886	0.00658906911548249	0.0107094218150303
ctransferencias_recibidas	0.00331470084988421	0.0123022257751414	0.00903800916181751
mtarjeta_visa_debitos_automaticos	0.00268370980029098	0.00600789380769879	0.00934753002352359
ctransferencias_emitidas	0.00267521934555899	0.00771857736884542	0.00736659650860468
mplazo_fijo_dolares	0.00267419270288904	0.0166657724628108	0.00396186702983781
ccajas_consultas	0.00266991243048569	0.0154499758772954	0.00359044199579052
mextraccion_autoservicio	0.00262519897722654	0.00797599160231129	0.0136808220874087
mtransferencias_emitidas	0.00260942307311527	0.00782983893060748	0.0104618051256655
ccuenta_debitos_automaticos	0.00250601423912682	0.0120384139715416	0.00674755478519252
Master_mpagospesos	0.00243721976890378	0.0163724358123781	0.011761792744831
Visa_mpagado	0.00240092462086932	0.0119292826221054	0.00934753002352359
mcuenta_debitos_automaticos	0.0023501334050637	0.00885933120200477	0.0094094341958648
mpagomiscuentas	0.00228037771996878	0.00856553349666671	0.0114522718831249
Visa_mlimitecompra	0.00226135448158809	0.00939141802868266	0.00835706326606413
Master_msaldopesos	0.00211003250065137	0.0052045004352757	0.00526185464900334
Visa_cconsumos	0.00196055050053528	0.00475981644565306	0.00903800916181751
Visa_mconsumototal	0.00183457625855177	0.00381247687857315	0.0074285006809459
ctarjeta_visa_debitos_automaticos	0.00182944955593622	0.00480061113833011	0.00532375882134456
ctarjeta_master	0.00179456955554504	0.0010125216376447	0.0015476043085304
ctarjeta_debito_trx	0.00139023006128456	0.00636545921968149	0.0113903677107837
ctarjeta_debito	0.00131250487669795	0.00529066050403347	0.00538566299368578
cextraccion_autoservicio	0.00119768937646137	0.00343440838961574	0.00619041723412158
cmobile_app_trx	0.00118417457793836	0.00145192602861445	0.0027237835830135
ccaja_seguridad	0.00116787334709203	0.00810984312114592	0.00253807106598985
Visa_mpagosdolares	0.00106885831643861	0.00696741666398787	0.00538566299368578
Master_msaldototal	0.000917588612488163	0.00258484366167213	0.00309520861706079
cseguro_accidentes_personales	0.000911910966394113	0.00526282908066862	0.00334282530642565
Visa_mconsumosdolares	0.000858487828101214	0.00201219440305899	0.0035285378234493
ccajas_trx	0.000855528644211334	0.00511905448163446	0.00185712517023647
Master_mconsumospesos	0.000585459833721427	0.00271350744617712	0.00414757954686146
Master_fultimo_cierre	0.000566610219222155	0.00183257191849005	0.00259997523833106
cpagomiscuentas	0.000530294006257163	0.00274769310744791	0.00365234616813173
Visa_fultimo_cierre	0.000522645843179242	0.0013582608179765	0.00222855020428377
Master_cconsumos	0.000420222098478057	0.00145083925633757	0.00253807106598985
Master_mconsumototal	0.000300272229786946	0.000920646914665466	0.00123808344682432
Visa_status	0.000297322979940286	0.000143315277417933	0.000247616689364863
cplazo_fijo	0.000225900935528925	0.0022870125925569	0.000619041723412158
mtarjeta_master_consumo	0.000203449992277262	0.000921562091319675	0.000804754240435805
tcuentas	0.000198199449235207	0.00327257291797389	0.00074285006809459
matm	0.000186155964982379	0.00117799874972309	0.00241426272130742
Visa_msaldodolares	0.000160927554335407	0.000847295852488388	0.000804754240435805
Visa_delinquency	0.000124976987788717	0.000406856687915301	0.000309520861706079
mtarjeta_visa_descuentos	0.000122405581837678	0.0030357466926495	0.00210474185960134
catm_trx	0.000105665952159494	0.000765401408249569	0.00111427510214188
active_quarter	7.73560504534423e-05	0.000182272683630083	0.000185712517023647
Master_mconsumosdolares	7.19059178577831e-05	0.000295693923632952	0.000680945895753374
ctarjeta_master_trx	6.66098019564784e-05	0.000299285298685078	0.000557137551070942
Master_mpagosdolares	6.13714713613811e-05	0.000491340666096144	0.0011761792744831
matm_other	5.34340568687881e-05	0.000565359044583583	0.000557137551070942
mttarjeta_master_debitos_automaticos	5.11866661015143e-05	0.000189223172992546	0.000495233378729726
catm_trx_other	2.89372408609546e-05	8.25877598859471e-05	0.000185712517023647
Master_mpagado	2.85646059602181e-05	0.000145006967596926	0.000185712517023647
Master_msaldodolares	2.47184640888904e-05	4.01447092578581e-05	6.19041723412158e-05
ctarjeta_visa_descuentos	2.21909786294303e-05	0.000794026678030387	0.000619041723412158
Master_cadelantosefectivo	1.109577611166e-05	5.95748802686343e-05	0.000185712517023647
Master_madelantopesos	9.73112298230969e-06	0.000111892479000951	0.000309520861706079
cseguro_vivienda	2.27688806237829e-06	3.3027824140084e-05	6.19041723412158e-05
cseguro_vida	3.11603128120955e-07	3.98309839275324e-05	6.19041723412158e-05
ccajeros_propios_descuentos	1.33184660500478e-13	5.91502244347681e-05	6.19041723412158e-05
