fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 231347	-0.606285735794755	58066	14498	27	5	5644000	86
20220517 231402	-0.0154356340978785	39935	12519	4	5	6105000	87
20220517 231415	-0.723105077451012	71514	1112	15	5	5746000	88
20220517 231427	0.0587747222381145	68082	26930	27	5	0	89
20220517 231440	-0.0807520301466583	79149	6997	9	5	5746000	90
20220517 231452	-0.336283232814853	75063	22436	12	5	115000	91
20220517 231528	-0.380971154224698	1963	318	18	5	10434000	92
20220517 231556	-0.184726007269171	1837	854	8	5	10453000	93
20220517 231626	-0.403296642208799	1171	582	9	5	9546000	94
20220517 231641	-0.903548555958113	2480	722	3	5	8294000	95
20220517 231657	-0.30532607109932	10030	2240	4	5	6993000	96
20220517 231712	-0.561853664176403	299	18	3	5	8135000	97
20220517 231728	-0.871355850043412	59136	34	30	5	5736000	98
20220517 231752	-0.911428780584261	10195	210	8	5	6993000	99
20220517 231824	-0.368270403445411	2172	949	21	5	10566000	100
20220517 231838	-0.700461534900506	7155	1218	3	5	8062000	101
20220517 231908	-0.229955631583223	5817	1137	20	5	8320000	102
20220517 232004	-0.999899081561929	30	14	26	5	2549000	103
20220517 232034	-0.906638771145232	3428	1305	23	5	8504000	104
20220517 232105	-0.779468793229899	924	373	9	5	9642000	105
20220517 232120	-0.275823438823583	79976	38	24	5	5746000	106
20220517 232155	-0.658902161058108	1078	453	14	5	9739000	107
20220517 232223	-0.699033546596157	68	1	8	5	8795000	108
20220517 232251	-0.99987307473214	13980	567	25	5	6624000	109
20220517 232323	-0.864323428509762	1688	837	14	5	10233000	110
20220517 232357	-0.883253078127454	1910	66	11	5	9795000	111
20220517 232429	-0.759656224687156	1844	892	21	5	10304000	112
20220517 232500	-0.278067134415575	2169	846	11	5	10515000	113
20220517 232532	-0.359983838282645	1834	899	20	5	10304000	114
20220517 232555	-0.998010695775321	22232	1565	12	5	5746000	115
20220517 232609	-0.999207043435492	37008	821	3	5	5746000	116
20220517 232626	-0.455274346276028	25283	12609	7	5	6105000	117
20220517 232641	-0.743633944102296	68741	59	30	5	5746000	118
20220517 232655	-0.777170620370598	15020	5973	3	5	5746000	119
20220517 232725	-0.99943597850648	31166	27	30	5	5710000	120
20220517 232738	0.0955822753648231	27026	28	18	5	0	121
20220517 232754	-0.57075745554444	32344	16142	30	5	4879000	122
20220517 232809	-0.998766046185487	62045	37	10	5	5746000	123
20220517 232846	-0.361363799754905	2090	237	14	5	10511000	124
20220517 232900	-0.518954140163892	34585	130	3	5	5746000	125
20220517 232916	-0.00532066163068662	38366	18326	30	5	3153000	126
20220517 232929	-0.6151695320312	21186	274	3	5	5746000	127
20220517 232944	-0.99989086447926	6972	3452	3	5	8148000	128
20220517 233020	-0.165163885170464	9924	29	30	5	6842000	129
20220517 233034	-0.569821572953072	76546	57	30	5	5746000	130
20220517 233055	-0.771301107488835	53441	32	30	5	5724000	131
20220517 233114	-0.998891912641317	27011	13395	20	5	6059000	132
20220517 233132	-0.481007568003606	61093	17	30	5	5742000	133
20220517 233218	-0.516396742434008	14208	19	30	5	5672000	134
20220517 233240	-0.998445169061086	20895	10399	30	5	5746000	135
20220517 233259	-0.583339441444963	59399	8	8	5	5740000	136
20220517 233319	-0.969714900006558	32962	16475	11	5	4697000	137
20220517 233342	-0.999746930986664	51578	6	7	5	5735000	138
20220517 233359	-0.849652604735627	67281	70	4	5	5746000	139
20220517 233449	-0.77092877223861	1650	40	15	5	9079000	140
20220517 233528	-0.852667112628655	2097	1012	24	5	10035000	141
20220517 233606	-0.255028968330338	2226	1066	14	5	9836000	142
20220517 233647	-0.179054264218255	2245	12	11	5	10052000	143
20220517 233720	-0.11756146078466	1575	640	8	5	9941000	144
20220517 233800	-0.652633386701572	1884	906	22	5	10366000	145
20220517 233835	-0.951400724810912	1122	557	8	5	9556000	146
