fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220606 142643	0	0	0	1	auto	depthwise	256	0	1	0.0104388951371501	0.84727156747543	0	2	0.00837197008191603	168	11189000	47
20220606 144859	0	0	0	1	auto	depthwise	256	0	1	0.010050147884287	0.395888529761541	5	19	0.00865462515525873	70	12585000	48
20220606 151836	0	0	0	1	auto	depthwise	256	0	1	0.0100758949946617	0.383451327165272	10	27	0.0157650325685888	390	13476000	49
20220606 152947	0	0	0	1	auto	depthwise	256	0	1	0.010094772882595	0.218928136265456	10	22	0.00837913589543805	50	12130000	50
20220606 155651	0	0	0	1	auto	depthwise	256	0	1	0.0100147588406267	0.402217924439939	10	12	0.0186733560323875	464	13062000	51
20220606 163339	0	0	0	1	auto	depthwise	256	0	1	0.010257492705519	0.509479208510003	9	30	0.013204995068556	296	13399000	52
20220606 170818	0	0	0	1	auto	depthwise	256	0	1	0.0108709029307352	0.498441186852439	10	30	0.0159211978701994	360	13322000	53
20220606 173510	0	0	0	1	auto	depthwise	256	0	1	0.010223092950047	0.757486192142356	3	8	0.0116202737214939	144	13171000	54
20220606 174307	0	0	0	1	auto	depthwise	256	0	1	0.050580284298017	0.364566614634474	9	27	0.016499663990708	86	12616000	55
20220606 182659	0	0	0	1	auto	depthwise	256	0	1	0.0100083569576574	0.826053959364222	10	27	0.0113518019637992	149	13349000	56
20220606 191454	0	0	0	1	auto	depthwise	256	0	1	0.0100361875376902	0.841019241838094	8	30	0.0115116193691932	120	13198000	57
20220606 201111	0	0	0	1	auto	depthwise	256	0	1	0.0100123135757484	0.793884286569955	9	26	0.0158508981328891	316	12931000	58
20220606 210212	0	0	0	1	auto	depthwise	256	0	1	0.010171971099404	0.97253759146138	6	13	0.0150359188955126	241	12987000	59
20220606 210621	0	0	0	1	auto	depthwise	256	0	1	0.106751242477881	0.999427142333335	0	2	0.00833848085099935	179	11880000	60
20220606 214842	0	0	0	1	auto	depthwise	256	0	1	0.0101776619836581	0.682821151715676	6	30	0.00927399388265829	99	12788000	61
20220606 221842	0	0	0	1	auto	depthwise	256	0	1	0.0103328555076991	0.537458968187861	10	18	0.0135108388703657	218	13586000	62
20220606 224531	0	0	0	1	auto	depthwise	256	0	1	0.0100564385584626	0.468191567845881	10	25	0.0132730998241241	177	13382000	63
20220606 231205	0	0	0	1	auto	depthwise	256	0	1	0.0100342398318464	0.744475971533699	10	8	0.0136899990993975	213	13433000	64
20220606 235135	0	0	0	1	auto	depthwise	256	0	1	0.0102040722855158	0.772134243647949	9	16	0.0110475756963624	194	13275000	65
20220607 001317	0	0	0	1	auto	depthwise	256	0	1	0.0100207824786066	0.292202040944463	10	13	0.0151319266838064	462	13167000	66
20220607 004919	0	0	0	1	auto	depthwise	256	0	1	0.010087088848212	0.658118594113767	10	18	0.0131863769644253	212	13483000	67
20220607 011119	0	0	0	1	auto	depthwise	256	0	1	0.0165817263590239	0.900341406018073	10	10	0.011541987956481	109	13127000	68
20220607 011904	0	0	0	1	auto	depthwise	256	0	1	0.0195781070444628	0.55780879176067	10	2	0.01392165955206	546	13295000	69
20220607 015021	0	0	0	1	auto	depthwise	256	0	1	0.0100593628248754	0.738710152972937	7	9	0.014142753043801	251	13410000	70
20220607 130549	0	0	0	1	auto	depthwise	256	0	1	0.010482893007708	0.757241987391852	6	8	0.0146628869709682	240	13072000	71
20220607 134015	0	0	0	1	auto	depthwise	256	0	1	0.0100140550583232	0.575351580599474	7	18	0.0142677806088701	188	13057000	72
20220607 141143	0	0	0	1	auto	depthwise	256	0	1	0.0101300025685854	0.873582400080838	7	10	0.0102894369750235	103	12848000	73
20220607 144247	0	0	0	1	auto	depthwise	256	0	1	0.0125845800181891	0.992017066973264	8	8	0.0150668069588178	223	13066000	74
20220607 151036	0	0	0	1	auto	depthwise	256	0	1	0.0102473571171129	0.614539899763563	9	30	0.00835238734791686	31	12182000	75
20220607 155619	0	0	0	1	auto	depthwise	256	0	1	0.0103014051749568	0.903524289136887	9	19	0.0135655435207724	159	13056000	76
20220607 161846	0	0	0	1	auto	depthwise	256	0	1	0.0101669928011852	0.55541158470293	9	9	0.0140581050893687	215	13453000	77
