fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220606 004016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	732	TRUE	999983	0.0100273210640287	0.279357338579599	4118	625	0.014519486214253	13483000	59
20220606 004112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	999983	0.0207553116453675	0.229473112131762	6687	17	0.0149078764856781	13269000	60
20220606 004243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	615	TRUE	999983	0.0103658237521032	0.58151507358108	7986	926	0.0177565569074419	13442000	61
20220606 004427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	689	TRUE	999983	0.0102234461525333	0.317277229064979	3768	32	0.0148908608957222	13470000	62
20220606 004520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	250	TRUE	999983	0.0100293544097789	0.610018101766739	557	17	0.0175075446917724	13089000	63
20220606 004607	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	428	TRUE	999983	0.0263956039304219	0.20051289531537	8000	27	0.0174026880935659	13318000	64
20220606 004716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	401	TRUE	999983	0.0101547319670187	0.201514460470854	4454	102	0.0177054667074414	13341000	65
20220606 004731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	999983	0.102789981893315	0.230830868344829	7803	838	0.017709765139016	13331000	66
20220606 004741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	999983	0.192480908977851	0.212510817358316	7991	227	0.01525340642109	13077000	67
20220606 004752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	999983	0.142252496831189	0.202642856749998	7986	17	0.0244637681200948	12865000	68
20220606 004905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	489	TRUE	999983	0.0101149590675924	0.615708375597256	6338	842	0.017386962329505	13457000	69
20220606 005052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	580	TRUE	999983	0.0110342216322528	0.551362647147396	4691	544	0.014958728368827	13686000	70
20220606 005235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	524	TRUE	999983	0.0101371669362763	0.571568110781463	3217	550	0.0118295277434583	13023000	71
20220606 005243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	999983	0.299606326374095	0.629354230360675	7991	579	0.0127970723992009	12251000	72
20220606 005339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	516	TRUE	999983	0.0134757555034516	0.999641413881839	4052	17	0.0234631514807376	12339000	73
20220606 005403	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	999983	0.0333529986261571	0.691164198950044	7999	16	0.0151486089912343	13324000	74
20220606 005428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	999983	0.043381834093058	0.593426352428628	3942	533	0.01483457174766	13521000	75
20220606 005637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1085	TRUE	999983	0.0100549502414286	0.207396757602379	3716	516	0.0198363780502152	13193000	76
20220606 005646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9	TRUE	999983	0.261824634944335	0.219778214610565	4631	17	0.0218110970852819	12615000	77
20220606 005717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	178	TRUE	999983	0.0333731138990328	0.203638481950055	7639	312	0.0230438923213369	12884000	78
20220606 005726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	999983	0.284788613516985	0.200833750713562	3968	1023	0.00833419440614993	11388000	79
20220606 005905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	716	TRUE	999983	0.0121571415594109	0.319818354865759	7992	530	0.0146795831402555	13245000	80
20220606 005932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	999983	0.0399932316510649	0.976782591550721	7996	264	0.0287063065454743	11628000	81
20220606 010143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1141	TRUE	999983	0.0102114141593816	0.204310263133659	4041	307	0.0249094722075672	12282000	82
20220606 010244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	503	TRUE	999983	0.0104790736410322	0.787215894394356	1393	23	0.0334708353504229	10558000	83
20220606 010449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	653	TRUE	999983	0.0101330296070355	0.533601440869139	4150	995	0.0129776788492044	13467000	84
