fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220606 202308	0	0	0	1	hist	lossguide	256	0	1	0.0109693015751565	0.624184045821031	9	2	0.0185690151212323	1553	12939000	34
20220606 202723	0	0	0	1	hist	lossguide	256	0	1	0.0102581862548697	0.640432965030906	8	177	0.0163723195110379	374	13203000	35
20220606 203028	0	0	0	1	hist	lossguide	256	0	1	0.0100417645637914	0.468397651795276	8	3	0.0184298065011955	903	13125000	36
20220606 203351	0	0	0	1	hist	lossguide	256	0	1	0.0104307508675137	0.722043916870003	7	103	0.0178058415172084	159	12692000	37
20220606 203449	0	0	0	1	hist	lossguide	256	0	1	0.0632241922483176	0.68833609039018	8	139	0.0191671001088228	46	12262000	38
20220606 204143	0	0	0	1	hist	lossguide	256	0	1	0.0102795643287978	0.75968024316377	8	2	0.0136288265389889	3253	12957000	39
20220606 204501	0	0	0	1	hist	lossguide	256	0	1	0.0103428425223192	0.236527605265926	8	3	0.016127736766451	1003	13093000	40
20220606 204924	0	0	0	1	hist	lossguide	256	0	1	0.0101854558805093	0.976138413531047	5	695	0.0163090483699554	223	12287000	41
20220606 205252	0	0	0	1	hist	lossguide	256	0	1	0.0100734890676503	0.477182262313257	9	937	0.0158281995129408	231	13062000	42
20220606 205644	0	0	0	1	hist	lossguide	256	0	1	0.0101465910344083	0.4039193692445	10	583	0.0161085662109172	356	13364000	43
20220606 210008	0	0	0	1	hist	lossguide	256	0	1	0.0128746186491622	0.545077665440783	8	636	0.0160516199862075	277	13322000	44
20220606 210033	0	0	0	1	hist	lossguide	256	0	1	0.298801297292975	0.346723547898998	10	696	0.0159211509266356	14	11647000	45
20220606 210414	0	0	0	1	hist	lossguide	256	0	1	0.0100408056800605	0.897622613820336	10	657	0.0159519026136277	268	13267000	46
20220606 210547	0	0	0	1	hist	lossguide	256	0	1	0.0356016878849136	0.92666034288779	10	2	0.0162424013172299	601	13195000	47
20220606 210921	0	0	0	1	hist	lossguide	256	0	1	0.0103399318088946	0.48207042349923	9	550	0.0160374333905454	275	13192000	48
20220606 211238	0	0	0	1	hist	lossguide	256	0	1	0.0104322482497322	0.506663196122967	10	685	0.0170483336208011	241	13267000	49
20220606 211625	0	0	0	1	hist	lossguide	256	0	1	0.0103744148782272	0.987014952232387	8	899	0.0162637278379138	258	12518000	50
20220606 211944	0	0	0	1	hist	lossguide	256	0	1	0.010092068705435	0.541736453178651	10	702	0.0148943244172637	238	13732000	51
20220606 212242	0	0	0	1	hist	lossguide	256	0	1	0.0100174441399413	0.56662278323105	10	825	0.0112075595727442	93	13037000	52
20220606 212319	0	0	0	1	hist	lossguide	256	0	1	0.0968214370766673	0.480722848434128	10	765	0.0144290017451861	21	12664000	53
20220606 212405	0	0	0	1	hist	lossguide	256	0	1	0.298653035858471	0.908376143768443	8	2	0.0156148434118502	299	13075000	54
20220606 212428	0	0	0	1	hist	lossguide	256	0	1	0.299650116761504	0.607750008455711	7	5	0.00834265009749949	48	11646000	55
20220606 212803	0	0	0	1	hist	lossguide	256	0	1	0.0102923365115855	0.478133548485917	10	5	0.0151301847900962	934	13871000	56
20220606 213150	0	0	0	1	hist	lossguide	256	0	1	0.0105167861470871	0.812270500368517	3	662	0.0083362050279831	52	12322000	57
20220606 213223	0	0	0	1	hist	lossguide	256	0	1	0.288100940626469	0.472495729703057	10	2	0.0152809759026119	134	13371000	58
20220606 213720	0	0	0	1	hist	lossguide	256	0	1	0.0101256967849145	0.997599466727855	4	2	0.0165992073483479	2060	13123000	59
20220606 214050	0	0	0	1	hist	lossguide	256	0	1	0.0101188731110655	0.556973635044387	10	354	0.0149491894398905	279	13524000	60
20220606 214344	0	0	0	1	hist	lossguide	256	0	1	0.0106402852084918	0.4723950369619	4	4	0.0151531701458837	812	13450000	61
20220606 214520	0	0	0	1	hist	lossguide	256	0	1	0.0106806433906294	0.349343422125102	4	4	0.00834883707516328	120	12086000	62
20220606 214932	0	0	0	1	hist	lossguide	256	0	1	0.0100167727594143	0.507243472256036	4	799	0.0140221326400713	228	12959000	63
20220606 215412	0	0	0	1	hist	lossguide	256	0	1	0.0100543368300592	0.518424788624927	5	2	0.0164122812885052	2049	13092000	64
20220606 215756	0	0	0	1	hist	lossguide	256	0	1	0.0101522965005051	0.408004604696466	10	64	0.0154541753748464	332	13462000	65
20220606 220101	0	0	0	1	hist	lossguide	256	0	1	0.0110473824309313	0.935656968168299	8	3	0.0261988340917214	963	12014000	66
20220606 220509	0	0	0	1	hist	lossguide	256	0	1	0.0100873459938621	0.757679094688795	4	296	0.0141798170132877	176	13030000	67
20220606 221114	0	0	0	1	hist	lossguide	256	0	1	0.0101466742018428	0.79356111258679	3	2	0.0148651063853607	2807	12942000	68
20220606 221420	0	0	0	1	hist	lossguide	256	0	1	0.0100425744835507	0.59824327440894	10	595	0.013759682793017	181	13695000	69
20220606 221442	0	0	0	1	hist	lossguide	256	0	1	0.299129662697605	0.860750559652685	10	2	0.0145921695564886	98	12755000	70
20220606 221949	0	0	0	1	hist	lossguide	256	0	1	0.0100695173299118	0.998118974867317	3	1024	0.0149782989197679	246	11900000	71
20220606 222034	0	0	0	1	hist	lossguide	256	0	1	0.299391665573018	0.205942866781552	8	2	0.0154233078595655	229	13108000	72
20220606 222403	0	0	0	1	hist	lossguide	256	0	1	0.0101275796752238	0.604268847900755	10	1024	0.0149426954166419	243	13610000	73
20220606 222705	0	0	0	1	hist	lossguide	256	0	1	0.0127593175978645	0.20822180149974	10	1024	0.0144112597676517	274	13127000	74
20220606 223115	0	0	0	1	hist	lossguide	256	0	1	0.0100192119461756	0.847161848204634	10	1023	0.0259494894566069	378	11348000	75
20220606 223549	0	0	0	1	hist	lossguide	256	0	1	0.0102912107397879	0.200572327292319	6	1023	0.016110815386386	379	13416000	76
20220606 224107	0	0	0	1	hist	lossguide	256	0	1	0.0101232888618784	0.556726961027909	10	2	0.0149562181900203	2369	13068000	77
20220606 224507	0	0	0	1	hist	lossguide	256	0	1	0.010146247168109	0.636389234341537	6	1022	0.0151055440068115	243	13064000	78
20220606 224815	0	0	0	1	hist	lossguide	256	0	1	0.0100246530859153	0.778050484378318	9	377	0.015043735159974	128	13100000	79
20220606 225154	0	0	0	1	hist	lossguide	256	0	1	0.0100327681665917	0.202725626824265	7	805	0.0136607864792148	245	13136000	80
20220606 225221	0	0	0	1	hist	lossguide	256	0	1	0.155867820714896	0.200205799841878	5	2	0.0147251136053231	113	13008000	81
20220606 225247	0	0	0	1	hist	lossguide	256	0	1	0.269452343424359	0.200026279046526	10	3	0.0148172015920771	106	12942000	82
20220606 225607	0	0	0	1	hist	lossguide	256	0	1	0.0102671517583258	0.625894543882937	4	35	0.0147753137051498	271	13129000	83
20220606 225926	0	0	0	1	hist	lossguide	256	0	1	0.0101366732536417	0.467783798175771	10	386	0.0142305166686124	228	13492000	84
20220606 230322	0	0	0	1	hist	lossguide	256	0	1	0.010280088915949	0.200425742672012	10	994	0.0219876570708342	428	12627000	85
20220606 230700	0	0	0	1	hist	lossguide	256	0	1	0.0100007137664878	0.645636251617421	10	734	0.0151903865080497	286	13464000	86
20220606 231109	0	0	0	1	hist	lossguide	256	0	1	0.0101446220871158	0.911406063207781	8	294	0.0149089308954556	252	13135000	87
20220606 231457	0	0	0	1	hist	lossguide	256	0	1	0.0101833577825633	0.999928130578429	10	405	0.0167974879842275	255	12901000	88
20220606 231711	0	0	0	1	hist	lossguide	256	0	1	0.0202691488919343	0.457027506024204	9	2	0.0151567538820164	850	12910000	89
20220606 232133	0	0	0	1	hist	lossguide	256	0	1	0.0103898472447159	0.20013084987585	6	519	0.0157620379858696	376	13329000	90
20220606 232227	0	0	0	1	hist	lossguide	256	0	1	0.0329869234719012	0.986127025459284	3	23	0.00835735314413108	26	12187000	91
20220606 232604	0	0	0	1	hist	lossguide	256	0	1	0.010819853919372	0.200160724277124	10	538	0.0157843516927705	365	13272000	92
20220606 232936	0	0	0	1	hist	lossguide	256	0	1	0.0104208767230645	0.272532920905098	7	1024	0.0161716681337936	246	12918000	93
20220606 233317	0	0	0	1	hist	lossguide	256	0	1	0.0107273701048132	0.473414064531983	10	3	0.0169933516071809	1218	13423000	94
20220606 233342	0	0	0	1	hist	lossguide	256	0	1	0.191676202627341	0.200066991017726	7	3	0.0195633299982177	90	12570000	95
20220606 233751	0	0	0	1	hist	lossguide	256	0	1	0.0105053832501741	0.879539456164579	4	4	0.014877951610862	1363	13242000	96
20220606 234157	0	0	0	1	hist	lossguide	256	0	1	0.0110927640073935	0.999970926444956	8	2	0.0157216871542428	1757	13076000	97
20220606 234551	0	0	0	1	hist	lossguide	256	0	1	0.0102580964663566	0.615678575709262	7	525	0.0149919478901181	276	13342000	98
20220606 234617	0	0	0	1	hist	lossguide	256	0	1	0.295936843489004	0.624783175341463	8	40	0.0156292731615667	16	11179000	99
20220606 234635	0	0	0	1	hist	lossguide	256	0	1	0.289354086298879	0.477742859153537	10	2	0.00834982342395973	52	11223000	100
20220606 234716	0	0	0	1	hist	lossguide	256	0	1	0.147222842112139	0.879038601370644	8	3	0.0155506820397957	200	13074000	101
20220606 234736	0	0	0	1	hist	lossguide	256	0	1	0.299278376567676	0.999844359620784	5	5	0.0135918763029256	41	12067000	102
20220606 234802	0	0	0	1	hist	lossguide	256	0	1	0.297974254801254	0.999887034146445	10	43	0.0188033024779922	10	11731000	103
20220606 235039	0	0	0	1	hist	lossguide	256	0	1	0.0100052136688823	0.900550602967154	10	1024	0.00836451836863565	37	11969000	104
