Feature	Gain	Cover	Frequency
ctransferencias_emitidas	0.00128141336872975	0.00326895530163595	0.00483163606630491
Master_cconsumos	0.00123189002241129	0.00266060662686654	0.00289898163978295
mtarjeta_visa_descuentos	0.00111653304000954	0.0136302514081414	0.00825094774399762
cmobile_app_trx	0.00111544077895125	0.000461425002725647	0.00111499293837806
Visa_mconsumosdolares	0.00104068522436879	0.00211721437843143	0.00297331450234149
Master_fultimo_cierre	0.00100268288893442	0.00232801799520557	0.0031963130900171
tcallcenter	0.000941842581885342	0.0039195217372183	0.00208132015163904
cseguro_accidentes_personales	0.000886169151004286	0.00310047588881843	0.00193265442652197
Master_mpagominimo	0.000791431926753997	0.00148621540603354	0.00252731732699026
mextraccion_autoservicio	0.000787608658662894	0.00554630234373222	0.00899427636958299
mtarjeta_master_consumo	0.000769934201487122	0.00232540712564385	0.00185832156396343
Visa_fultimo_cierre	0.000729335000858964	0.00148116036088982	0.00208132015163904
ctarjeta_visa_debitos_automaticos	0.000709544791933239	0.00181679366813199	0.0026016501895488
cplazo_fijo	0.000645536565446734	0.00347242438330287	0.000966327213260983
matm	0.000630239677724627	0.00210222999550838	0.00275031591466587
cextraccion_autoservicio	0.000569866569990836	0.00196132739034618	0.00312198022745856
Master_mconsumospesos	0.000536183577763587	0.0015435199761908	0.00222998587675611
Visa_mpagosdolares	0.000367891201444654	0.00317111798571365	0.00245298446443173
Master_status	0.000313564978077997	0.000178095446249444	0.000445997175351223
Master_mpagosdolares	0.000307242418309354	0.000631967002496927	0.00104066007581952
Master_mconsumototal	0.000305399548751781	0.00112565030283817	0.00126365866349513
ctarjeta_visa_descuentos	0.00030336178938083	0.00498424237793083	0.00334497881513417
catm_trx	0.000295662882110555	0.00151822868358258	0.00126365866349513
ctarjeta_master_trx	0.000178392853312363	0.000348772006221212	0.00052033003790976
mdescubierto_preacordado	8.45025573306405e-05	0.000459458817109555	0.000297331450234149
Master_mconsumosdolares	7.72316615234474e-05	0.000318273033017968	0.000743328625585371
mttarjeta_master_debitos_automaticos	7.48164615100061e-05	0.000319180812280965	0.000222998587675611
Master_mpagado	7.17566333488253e-05	0.000200032775651461	0.000222998587675611
matm_other	6.77244560089862e-05	9.61261921787739e-05	0.000148665725117074
ctarjeta_master	5.62386939464553e-05	7.98986336721092e-05	0.000148665725117074
Master_msaldodolares	4.11455067900549e-05	8.71247172744582e-05	7.43328625585371e-05
cseguro_vida	2.92569384978967e-05	0.000271104661843769	0.000222998587675611
internet	2.46156274649089e-05	0.000171564255622752	7.43328625585371e-05
Master_delinquency	9.33844348814911e-06	1.94329029839713e-05	7.43328625585371e-05
Visa_madelantodolares	2.23394213920845e-06	8.12944447070265e-05	7.43328625585371e-05
mforex_sell	9.1649244937557e-07	4.68992507732221e-05	7.43328625585371e-05
cforex_sell	1.98853783206175e-14	5.63465818642308e-05	7.43328625585371e-05
